"filename", "language", "Markdown", "Python", "YAML", "Shell Script", "JSON", "JavaScript", "Properties", "Docker", "CSV", "comment", "blank", "total"
"c:\Users\floor\OneDrive - University of Twente\Documenten\mod 12\ModernityAndCodeQualityResearch\GithubAPI\python_repos\great_expectations\assets\docker\linkchecker\check.sh", "Shell Script", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 2, 4
"c:\Users\floor\OneDrive - University of Twente\Documenten\mod 12\ModernityAndCodeQualityResearch\GithubAPI\python_repos\great_expectations\assets\docker\linkchecker\docker-compose.yml", "YAML", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\floor\OneDrive - University of Twente\Documenten\mod 12\ModernityAndCodeQualityResearch\GithubAPI\python_repos\great_expectations\assets\docker\mercury\README.md", "Markdown", 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 45
"c:\Users\floor\OneDrive - University of Twente\Documenten\mod 12\ModernityAndCodeQualityResearch\GithubAPI\python_repos\great_expectations\assets\docker\mercury\docker-compose.yml", "YAML", 0, 0, 126, 0, 0, 0, 0, 0, 0, 6, 1, 133
"c:\Users\floor\OneDrive - University of Twente\Documenten\mod 12\ModernityAndCodeQualityResearch\GithubAPI\python_repos\great_expectations\assets\docker\mercury\nginx.conf", "Properties", 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 5, 17
"c:\Users\floor\OneDrive - University of Twente\Documenten\mod 12\ModernityAndCodeQualityResearch\GithubAPI\python_repos\great_expectations\assets\docker\mssql\README.md", "Markdown", 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 38
"c:\Users\floor\OneDrive - University of Twente\Documenten\mod 12\ModernityAndCodeQualityResearch\GithubAPI\python_repos\great_expectations\assets\docker\mssql\docker-compose.yml", "YAML", 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 2, 21
"c:\Users\floor\OneDrive - University of Twente\Documenten\mod 12\ModernityAndCodeQualityResearch\GithubAPI\python_repos\great_expectations\assets\docker\mysql\docker-compose.yml", "YAML", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 2, 18
"c:\Users\floor\OneDrive - University of Twente\Documenten\mod 12\ModernityAndCodeQualityResearch\GithubAPI\python_repos\great_expectations\assets\docker\postgresql\docker-compose.yml", "YAML", 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 2, 20
"c:\Users\floor\OneDrive - University of Twente\Documenten\mod 12\ModernityAndCodeQualityResearch\GithubAPI\python_repos\great_expectations\assets\docker\readthedocs\docker-compose.yml", "YAML", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\floor\OneDrive - University of Twente\Documenten\mod 12\ModernityAndCodeQualityResearch\GithubAPI\python_repos\great_expectations\assets\docker\spark\README.md", "Markdown", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5
"c:\Users\floor\OneDrive - University of Twente\Documenten\mod 12\ModernityAndCodeQualityResearch\GithubAPI\python_repos\great_expectations\assets\docker\spark\docker-compose.yml", "YAML", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 1, 10
"c:\Users\floor\OneDrive - University of Twente\Documenten\mod 12\ModernityAndCodeQualityResearch\GithubAPI\python_repos\great_expectations\assets\docker\trino\docker-compose.yml", "YAML", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Users\floor\OneDrive - University of Twente\Documenten\mod 12\ModernityAndCodeQualityResearch\GithubAPI\python_repos\great_expectations\assets\scripts\AlgoliaScripts\README.md", "Markdown", 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 62
"c:\Users\floor\OneDrive - University of Twente\Documenten\mod 12\ModernityAndCodeQualityResearch\GithubAPI\python_repos\great_expectations\assets\scripts\AlgoliaScripts\package-lock.json", "JSON", 0, 0, 0, 0, 381, 0, 0, 0, 0, 0, 1, 382
"c:\Users\floor\OneDrive - University of Twente\Documenten\mod 12\ModernityAndCodeQualityResearch\GithubAPI\python_repos\great_expectations\assets\scripts\AlgoliaScripts\package.json", "JSON", 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 1, 19
"c:\Users\floor\OneDrive - University of Twente\Documenten\mod 12\ModernityAndCodeQualityResearch\GithubAPI\python_repos\great_expectations\assets\scripts\AlgoliaScripts\upload_s3_expectation_to_algolia.js", "JavaScript", 0, 0, 0, 0, 0, 150, 0, 0, 0, 14, 11, 175
"c:\Users\floor\OneDrive - University of Twente\Documenten\mod 12\ModernityAndCodeQualityResearch\GithubAPI\python_repos\great_expectations\assets\scripts\AlgoliaScripts\upload_s3_packages_to_algolia.js", "JavaScript", 0, 0, 0, 0, 0, 150, 0, 0, 0, 10, 13, 173
"c:\Users\floor\OneDrive - University of Twente\Documenten\mod 12\ModernityAndCodeQualityResearch\GithubAPI\python_repos\great_expectations\assets\scripts\build_gallery.py", "Python", 0, 634, 0, 0, 0, 0, 0, 0, 0, 137, 76, 847
"c:\Users\floor\OneDrive - University of Twente\Documenten\mod 12\ModernityAndCodeQualityResearch\GithubAPI\python_repos\great_expectations\assets\scripts\build_package_gallery.py", "Python", 0, 71, 0, 0, 0, 0, 0, 0, 0, 26, 21, 118
"c:\Users\floor\OneDrive - University of Twente\Documenten\mod 12\ModernityAndCodeQualityResearch\GithubAPI\python_repos\great_expectations\assets\scripts\copy_s3_staging_to_prod.sh", "Shell Script", 0, 0, 0, 4, 0, 0, 0, 0, 0, 1, 3, 8
"c:\Users\floor\OneDrive - University of Twente\Documenten\mod 12\ModernityAndCodeQualityResearch\GithubAPI\python_repos\great_expectations\assets\scripts\download_json_from_s3.sh", "Shell Script", 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 3, 7
"c:\Users\floor\OneDrive - University of Twente\Documenten\mod 12\ModernityAndCodeQualityResearch\GithubAPI\python_repos\great_expectations\assets\scripts\trigger_algolia.sh", "Shell Script", 0, 0, 0, 13, 0, 0, 0, 0, 0, 1, 5, 19
"c:\Users\floor\OneDrive - University of Twente\Documenten\mod 12\ModernityAndCodeQualityResearch\GithubAPI\python_repos\great_expectations\ci\README.md", "Markdown", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 7
"c:\Users\floor\OneDrive - University of Twente\Documenten\mod 12\ModernityAndCodeQualityResearch\GithubAPI\python_repos\great_expectations\ci\azure-pipelines-packaging.yml", "YAML", 0, 0, 53, 0, 0, 0, 0, 0, 0, 12, 9, 74
"c:\Users\floor\OneDrive - University of Twente\Documenten\mod 12\ModernityAndCodeQualityResearch\GithubAPI\python_repos\great_expectations\ci\azure-pipelines-sqlalchemy-compatibility.yml", "YAML", 0, 0, 176, 0, 0, 0, 0, 0, 0, 19, 37, 232
"c:\Users\floor\OneDrive - University of Twente\Documenten\mod 12\ModernityAndCodeQualityResearch\GithubAPI\python_repos\great_expectations\ci\checks\check_integration_test_gets_run.py", "Python", 0, 151, 0, 0, 0, 0, 0, 0, 0, 19, 14, 184
"c:\Users\floor\OneDrive - University of Twente\Documenten\mod 12\ModernityAndCodeQualityResearch\GithubAPI\python_repos\great_expectations\ci\checks\check_min_airflow_dependency_compatibility.sh", "Shell Script", 0, 0, 0, 12, 0, 0, 0, 0, 0, 7, 9, 28
"c:\Users\floor\OneDrive - University of Twente\Documenten\mod 12\ModernityAndCodeQualityResearch\GithubAPI\python_repos\great_expectations\ci\checks\check_name_tag_snippets_referenced.py", "Python", 0, 91, 0, 0, 0, 0, 0, 0, 0, 21, 13, 125
"c:\Users\floor\OneDrive - University of Twente\Documenten\mod 12\ModernityAndCodeQualityResearch\GithubAPI\python_repos\great_expectations\ci\checks\check_no_line_number_snippets.py", "Python", 0, 60, 0, 0, 0, 0, 0, 0, 0, 4, 11, 75
"c:\Users\floor\OneDrive - University of Twente\Documenten\mod 12\ModernityAndCodeQualityResearch\GithubAPI\python_repos\great_expectations\ci\checks\check_only_name_tag_snippets.py", "Python", 0, 77, 0, 0, 0, 0, 0, 0, 0, 35, 11, 123
"c:\Users\floor\OneDrive - University of Twente\Documenten\mod 12\ModernityAndCodeQualityResearch\GithubAPI\python_repos\great_expectations\ci\checks\check_repo_root_size.sh", "Shell Script", 0, 0, 0, 9, 0, 0, 0, 0, 0, 4, 6, 19
"c:\Users\floor\OneDrive - University of Twente\Documenten\mod 12\ModernityAndCodeQualityResearch\GithubAPI\python_repos\great_expectations\ci\checks\get_context.py", "Python", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"c:\Users\floor\OneDrive - University of Twente\Documenten\mod 12\ModernityAndCodeQualityResearch\GithubAPI\python_repos\great_expectations\ci\checks\validate_docs_snippets.py", "Python", 0, 64, 0, 0, 0, 0, 0, 0, 0, 22, 17, 103
"c:\Users\floor\OneDrive - University of Twente\Documenten\mod 12\ModernityAndCodeQualityResearch\GithubAPI\python_repos\great_expectations\ci\dev-install-matrix.yml", "YAML", 0, 0, 70, 0, 0, 0, 0, 0, 0, 6, 15, 91
"c:\Users\floor\OneDrive - University of Twente\Documenten\mod 12\ModernityAndCodeQualityResearch\GithubAPI\python_repos\great_expectations\ci\user-install-matrix.yml", "YAML", 0, 0, 20, 0, 0, 0, 0, 0, 0, 27, 4, 51
"c:\Users\floor\OneDrive - University of Twente\Documenten\mod 12\ModernityAndCodeQualityResearch\GithubAPI\python_repos\great_expectations\codecov.yml", "YAML", 0, 0, 18, 0, 0, 0, 0, 0, 0, 8, 2, 28
"c:\Users\floor\OneDrive - University of Twente\Documenten\mod 12\ModernityAndCodeQualityResearch\GithubAPI\python_repos\great_expectations\contrib\README.md", "Markdown", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 20
"c:\Users\floor\OneDrive - University of Twente\Documenten\mod 12\ModernityAndCodeQualityResearch\GithubAPI\python_repos\great_expectations\contrib\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\floor\OneDrive - University of Twente\Documenten\mod 12\ModernityAndCodeQualityResearch\GithubAPI\python_repos\great_expectations\contrib\capitalone_dataprofiler_expectations\README.md", "Markdown", 405, 0, 0, 0, 0, 0, 0, 0, 0, 0, 99, 504
"c:\Users\floor\OneDrive - University of Twente\Documenten\mod 12\ModernityAndCodeQualityResearch\GithubAPI\python_repos\great_expectations\contrib\capitalone_dataprofiler_expectations\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\floor\OneDrive - University of Twente\Documenten\mod 12\ModernityAndCodeQualityResearch\GithubAPI\python_repos\great_expectations\contrib\capitalone_dataprofiler_expectations\capitalone_dataprofiler_expectations\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\floor\OneDrive - University of Twente\Documenten\mod 12\ModernityAndCodeQualityResearch\GithubAPI\python_repos\great_expectations\contrib\capitalone_dataprofiler_expectations\capitalone_dataprofiler_expectations\expectations\__init__.py", "Python", 0, 54, 0, 0, 0, 0, 0, 0, 0, 1, 2, 57
"c:\Users\floor\OneDrive - University of Twente\Documenten\mod 12\ModernityAndCodeQualityResearch\GithubAPI\python_repos\great_expectations\contrib\capitalone_dataprofiler_expectations\capitalone_dataprofiler_expectations\expectations\profile_numeric_columns_diff_expectation.py", "Python", 0, 75, 0, 0, 0, 0, 0, 0, 0, 1, 14, 90
"c:\Users\floor\OneDrive - University of Twente\Documenten\mod 12\ModernityAndCodeQualityResearch\GithubAPI\python_repos\great_expectations\contrib\capitalone_dataprofiler_expectations\capitalone_dataprofiler_expectations\expectations\util.py", "Python", 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 13, 54
"c:\Users\floor\OneDrive - University of Twente\Documenten\mod 12\ModernityAndCodeQualityResearch\GithubAPI\python_repos\great_expectations\contrib\capitalone_dataprofiler_expectations\capitalone_dataprofiler_expectations\metrics\__init__.py", "Python", 0, 24, 0, 0, 0, 0, 0, 0, 0, 1, 1, 26
"c:\Users\floor\OneDrive - University of Twente\Documenten\mod 12\ModernityAndCodeQualityResearch\GithubAPI\python_repos\great_expectations\contrib\capitalone_dataprofiler_expectations\capitalone_dataprofiler_expectations\metrics\data_profiler_metrics\__init__.py", "Python", 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 1, 25
"c:\Users\floor\OneDrive - University of Twente\Documenten\mod 12\ModernityAndCodeQualityResearch\GithubAPI\python_repos\great_expectations\contrib\capitalone_dataprofiler_expectations\capitalone_dataprofiler_expectations\metrics\data_profiler_metrics\data_profiler_column_profiler_report.py", "Python", 0, 64, 0, 0, 0, 0, 0, 0, 0, 0, 11, 75
"c:\Users\floor\OneDrive - University of Twente\Documenten\mod 12\ModernityAndCodeQualityResearch\GithubAPI\python_repos\great_expectations\contrib\capitalone_dataprofiler_expectations\capitalone_dataprofiler_expectations\metrics\data_profiler_metrics\data_profiler_profile_diff.py", "Python", 0, 35, 0, 0, 0, 0, 0, 0, 0, 1, 8, 44
"c:\Users\floor\OneDrive - University of Twente\Documenten\mod 12\ModernityAndCodeQualityResearch\GithubAPI\python_repos\great_expectations\contrib\capitalone_dataprofiler_expectations\capitalone_dataprofiler_expectations\metrics\data_profiler_metrics\data_profiler_profile_metric_provider.py", "Python", 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 6, 34
"c:\Users\floor\OneDrive - University of Twente\Documenten\mod 12\ModernityAndCodeQualityResearch\GithubAPI\python_repos\great_expectations\contrib\capitalone_dataprofiler_expectations\capitalone_dataprofiler_expectations\metrics\data_profiler_metrics\data_profiler_profile_numeric_columns.py", "Python", 0, 50, 0, 0, 0, 0, 0, 0, 0, 3, 11, 64
"c:\Users\floor\OneDrive - University of Twente\Documenten\mod 12\ModernityAndCodeQualityResearch\GithubAPI\python_repos\great_expectations\contrib\capitalone_dataprofiler_expectations\capitalone_dataprofiler_expectations\metrics\data_profiler_metrics\data_profiler_profile_percent_diff.py", "Python", 0, 96, 0, 0, 0, 0, 0, 0, 0, 3, 14, 113
"c:\Users\floor\OneDrive - University of Twente\Documenten\mod 12\ModernityAndCodeQualityResearch\GithubAPI\python_repos\great_expectations\contrib\capitalone_dataprofiler_expectations\capitalone_dataprofiler_expectations\metrics\data_profiler_metrics\data_profiler_profile_report.py", "Python", 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 6, 41
"c:\Users\floor\OneDrive - University of Twente\Documenten\mod 12\ModernityAndCodeQualityResearch\GithubAPI\python_repos\great_expectations\contrib\capitalone_dataprofiler_expectations\capitalone_dataprofiler_expectations\metrics\data_profiler_metrics\data_profiler_table_column_infos.py", "Python", 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 8, 55
"c:\Users\floor\OneDrive - University of Twente\Documenten\mod 12\ModernityAndCodeQualityResearch\GithubAPI\python_repos\great_expectations\contrib\capitalone_dataprofiler_expectations\capitalone_dataprofiler_expectations\metrics\data_profiler_metrics\data_profiler_table_column_list.py", "Python", 0, 75, 0, 0, 0, 0, 0, 0, 0, 0, 8, 83
"c:\Users\floor\OneDrive - University of Twente\Documenten\mod 12\ModernityAndCodeQualityResearch\GithubAPI\python_repos\great_expectations\contrib\capitalone_dataprofiler_expectations\capitalone_dataprofiler_expectations\profilers\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"c:\Users\floor\OneDrive - University of Twente\Documenten\mod 12\ModernityAndCodeQualityResearch\GithubAPI\python_repos\great_expectations\contrib\capitalone_dataprofiler_expectations\capitalone_dataprofiler_expectations\rule_based_profiler\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\floor\OneDrive - University of Twente\Documenten\mod 12\ModernityAndCodeQualityResearch\GithubAPI\python_repos\great_expectations\contrib\capitalone_dataprofiler_expectations\capitalone_dataprofiler_expectations\rule_based_profiler\data_assistant\__init__.py", "Python", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\floor\OneDrive - University of Twente\Documenten\mod 12\ModernityAndCodeQualityResearch\GithubAPI\python_repos\great_expectations\contrib\capitalone_dataprofiler_expectations\capitalone_dataprofiler_expectations\rule_based_profiler\data_assistant_result\__init__.py", "Python", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\floor\OneDrive - University of Twente\Documenten\mod 12\ModernityAndCodeQualityResearch\GithubAPI\python_repos\great_expectations\contrib\capitalone_dataprofiler_expectations\capitalone_dataprofiler_expectations\rule_based_profiler\domain_builder\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\floor\OneDrive - University of Twente\Documenten\mod 12\ModernityAndCodeQualityResearch\GithubAPI\python_repos\great_expectations\contrib\capitalone_dataprofiler_expectations\capitalone_dataprofiler_expectations\tests\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\floor\OneDrive - University of Twente\Documenten\mod 12\ModernityAndCodeQualityResearch\GithubAPI\python_repos\great_expectations\contrib\capitalone_dataprofiler_expectations\capitalone_dataprofiler_expectations\tests\conftest.py", "Python", 0, 308, 0, 0, 0, 0, 0, 0, 0, 8, 24, 340
"Total", "-", 1053, 2113, 2020, 42, 399, 300, 12, 3, 12, 511, 1072, 7537
