Date : 2026-06-12 13:49:12
Directory : c:\Users\floor\OneDrive - University of Twente\Documenten\mod 12\ModernityAndCodeQualityResearch\GithubAPI\python_repos\great_expectations
Total : 4815 files,  -652342 codes, -28019 comments, -63543 blanks, all -743904 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| c:\Users\floor\OneDrive - University of Twente\Documenten\mod 12\ModernityAndCodeQualityResearch\GithubAPI\python_repos\erpnext\erpnext\accounts\doctype\payment_reconciliation_allocation\__init__.py                                                                                              | Python             |          0 |          0 |         -1 |         -1 |
| c:\Users\floor\OneDrive - University of Twente\Documenten\mod 12\ModernityAndCodeQualityResearch\GithubAPI\python_repos\erpnext\erpnext\accounts\doctype\payment_reconciliation_allocation\payment_reconciliation_allocation.json                                                                   | JSON               |       -193 |          0 |         -1 |       -194 |
| c:\Users\floor\OneDrive - University of Twente\Documenten\mod 12\ModernityAndCodeQualityResearch\GithubAPI\python_repos\erpnext\erpnext\accounts\doctype\payment_reconciliation_allocation\payment_reconciliation_allocation.py                                                                     | Python             |        -27 |         -6 |         -8 |        -41 |
| c:\Users\floor\OneDrive - University of Twente\Documenten\mod 12\ModernityAndCodeQualityResearch\GithubAPI\python_repos\erpnext\erpnext\accounts\doctype\payment_reconciliation_invoice\__init__.py                                                                                                 | Python             |          0 |          0 |         -1 |         -1 |
| c:\Users\floor\OneDrive - University of Twente\Documenten\mod 12\ModernityAndCodeQualityResearch\GithubAPI\python_repos\erpnext\erpnext\accounts\doctype\payment_reconciliation_invoice\payment_reconciliation_invoice.json                                                                         | JSON               |        -88 |          0 |          0 |        -88 |
| c:\Users\floor\OneDrive - University of Twente\Documenten\mod 12\ModernityAndCodeQualityResearch\GithubAPI\python_repos\erpnext\erpnext\accounts\doctype\payment_reconciliation_invoice\payment_reconciliation_invoice.py                                                                           | Python             |        -18 |         -5 |         -9 |        -32 |
| c:\Users\floor\OneDrive - University of Twente\Documenten\mod 12\ModernityAndCodeQualityResearch\GithubAPI\python_repos\erpnext\erpnext\accounts\doctype\payment_reconciliation_payment\__init__.py                                                                                                 | Python             |          0 |          0 |         -1 |         -1 |
| c:\Users\floor\OneDrive - University of Twente\Documenten\mod 12\ModernityAndCodeQualityResearch\GithubAPI\python_repos\erpnext\erpnext\accounts\doctype\payment_reconciliation_payment\payment_reconciliation_payment.json                                                                         | JSON               |       -123 |          0 |          0 |       -123 |
| c:\Users\floor\OneDrive - University of Twente\Documenten\mod 12\ModernityAndCodeQualityResearch\GithubAPI\python_repos\erpnext\erpnext\accounts\doctype\payment_reconciliation_payment\payment_reconciliation_payment.py                                                                           | Python             |        -22 |         -5 |         -9 |        -36 |
| c:\Users\floor\OneDrive - University of Twente\Documenten\mod 12\ModernityAndCodeQualityResearch\GithubAPI\python_repos\erpnext\erpnext\accounts\doctype\payment_reference\__init__.py                                                                                                              | Python             |          0 |          0 |         -1 |         -1 |
| c:\Users\floor\OneDrive - University of Twente\Documenten\mod 12\ModernityAndCodeQualityResearch\GithubAPI\python_repos\erpnext\erpnext\accounts\doctype\payment_reference\payment_reference.json                                                                                                   | JSON               |        -88 |          0 |         -1 |        -89 |
| c:\Users\floor\OneDrive - University of Twente\Documenten\mod 12\ModernityAndCodeQualityResearch\GithubAPI\python_repos\erpnext\erpnext\accounts\doctype\payment_reference\payment_reference.py                                                                                                     | Python             |        -14 |         -6 |         -8 |        -28 |
| c:\Users\floor\OneDrive - University of Twente\Documenten\mod 12\ModernityAndCodeQualityResearch\GithubAPI\python_repos\erpnext\erpnext\accounts\doctype\payment_request\__init__.py                                                                                                                | Python             |          0 |          0 |         -1 |         -1 |
| c:\Users\floor\OneDrive - University of Twente\Documenten\mod 12\ModernityAndCodeQualityResearch\GithubAPI\python_repos\erpnext\erpnext\accounts\doctype\payment_request\payment_request.js                                                                                                         | JavaScript         |       -123 |          0 |        -11 |       -134 |
| c:\Users\floor\OneDrive - University of Twente\Documenten\mod 12\ModernityAndCodeQualityResearch\GithubAPI\python_repos\erpnext\erpnext\accounts\doctype\payment_request\payment_request.json                                                                                                       | JSON               |       -521 |          0 |         -1 |       -522 |
| c:\Users\floor\OneDrive - University of Twente\Documenten\mod 12\ModernityAndCodeQualityResearch\GithubAPI\python_repos\erpnext\erpnext\accounts\doctype\payment_request\payment_request.py                                                                                                         | Python             |       -937 |        -50 |       -210 |     -1,197 |
| c:\Users\floor\OneDrive - University of Twente\Documenten\mod 12\ModernityAndCodeQualityResearch\GithubAPI\python_repos\erpnext\erpnext\accounts\doctype\payment_request\payment_request_dashboard.py                                                                                               | Python             |        -12 |          0 |         -3 |        -15 |
| c:\Users\floor\OneDrive - University of Twente\Documenten\mod 12\ModernityAndCodeQualityResearch\GithubAPI\python_repos\erpnext\erpnext\accounts\doctype\payment_request\payment_request_list.js                                                                                                    | JavaScript         |        -16 |          0 |         -3 |        -19 |
| c:\Users\floor\OneDrive - University of Twente\Documenten\mod 12\ModernityAndCodeQualityResearch\GithubAPI\python_repos\erpnext\erpnext\accounts\doctype\payment_request\test_payment_request.py                                                                                                    | Python             |       -791 |        -26 |       -160 |       -977 |
| c:\Users\floor\OneDrive - University of Twente\Documenten\mod 12\ModernityAndCodeQualityResearch\GithubAPI\python_repos\erpnext\erpnext\accounts\doctype\payment_schedule\__init__.py                                                                                                               | Python             |          0 |          0 |         -1 |         -1 |
| c:\Users\floor\OneDrive - University of Twente\Documenten\mod 12\ModernityAndCodeQualityResearch\GithubAPI\python_repos\erpnext\erpnext\accounts\doctype\payment_schedule\payment_schedule.json                                                                                                     | JSON               |       -235 |          0 |         -1 |       -236 |
| c:\Users\floor\OneDrive - University of Twente\Documenten\mod 12\ModernityAndCodeQualityResearch\GithubAPI\python_repos\erpnext\erpnext\accounts\doctype\payment_schedule\payment_schedule.py                                                                                                       | Python             |        -39 |         -5 |         -9 |        -53 |
| c:\Users\floor\OneDrive - University of Twente\Documenten\mod 12\ModernityAndCodeQualityResearch\GithubAPI\python_repos\erpnext\erpnext\accounts\doctype\payment_term\__init__.py                                                                                                                   | Python             |          0 |          0 |         -1 |         -1 |
| c:\Users\floor\OneDrive - University of Twente\Documenten\mod 12\ModernityAndCodeQualityResearch\GithubAPI\python_repos\erpnext\erpnext\accounts\doctype\payment_term\payment_term.js                                                                                                               | JavaScript         |        -22 |         -2 |         -1 |        -25 |
| c:\Users\floor\OneDrive - University of Twente\Documenten\mod 12\ModernityAndCodeQualityResearch\GithubAPI\python_repos\erpnext\erpnext\accounts\doctype\payment_term\payment_term.json                                                                                                             | JSON               |       -167 |          0 |          0 |       -167 |
| c:\Users\floor\OneDrive - University of Twente\Documenten\mod 12\ModernityAndCodeQualityResearch\GithubAPI\python_repos\erpnext\erpnext\accounts\doctype\payment_term\payment_term.py                                                                                                               | Python             |        -25 |         -5 |         -9 |        -39 |
| c:\Users\floor\OneDrive - University of Twente\Documenten\mod 12\ModernityAndCodeQualityResearch\GithubAPI\python_repos\erpnext\erpnext\accounts\doctype\payment_term\payment_term_dashboard.py                                                                                                     | Python             |        -10 |          0 |         -3 |        -13 |
| c:\Users\floor\OneDrive - University of Twente\Documenten\mod 12\ModernityAndCodeQualityResearch\GithubAPI\python_repos\erpnext\erpnext\accounts\doctype\payment_term\test_payment_term.py                                                                                                          | Python             |         -3 |         -2 |         -4 |         -9 |
| c:\Users\floor\OneDrive - University of Twente\Documenten\mod 12\ModernityAndCodeQualityResearch\GithubAPI\python_repos\erpnext\erpnext\accounts\doctype\payment_terms_template\__init__.py                                                                                                         | Python             |          0 |          0 |         -1 |         -1 |
| c:\Users\floor\OneDrive - University of Twente\Documenten\mod 12\ModernityAndCodeQualityResearch\GithubAPI\python_repos\erpnext\erpnext\accounts\doctype\payment_terms_template\payment_terms_template.js                                                                                           | JavaScript         |        -14 |         -2 |         -3 |        -19 |
| c:\Users\floor\OneDrive - University of Twente\Documenten\mod 12\ModernityAndCodeQualityResearch\GithubAPI\python_repos\erpnext\erpnext\accounts\doctype\payment_terms_template\payment_terms_template.json                                                                                         | JSON               |        -95 |          0 |          0 |        -95 |
| c:\Users\floor\OneDrive - University of Twente\Documenten\mod 12\ModernityAndCodeQualityResearch\GithubAPI\python_repos\erpnext\erpnext\accounts\doctype\payment_terms_template\payment_terms_template.py                                                                                           | Python             |        -37 |         -5 |        -14 |        -56 |
| c:\Users\floor\OneDrive - University of Twente\Documenten\mod 12\ModernityAndCodeQualityResearch\GithubAPI\python_repos\erpnext\erpnext\accounts\doctype\payment_terms_template\payment_terms_template_dashboard.py                                                                                 | Python             |        -17 |          0 |         -3 |        -20 |
| c:\Users\floor\OneDrive - University of Twente\Documenten\mod 12\ModernityAndCodeQualityResearch\GithubAPI\python_repos\erpnext\erpnext\accounts\doctype\payment_terms_template\test_payment_terms_template.py                                                                                      | Python             |        -67 |         -2 |        -12 |        -81 |
| c:\Users\floor\OneDrive - University of Twente\Documenten\mod 12\ModernityAndCodeQualityResearch\GithubAPI\python_repos\erpnext\erpnext\accounts\doctype\payment_terms_template_detail\__init__.py                                                                                                  | Python             |          0 |          0 |         -1 |         -1 |
| c:\Users\floor\OneDrive - University of Twente\Documenten\mod 12\ModernityAndCodeQualityResearch\GithubAPI\python_repos\erpnext\erpnext\accounts\doctype\payment_terms_template_detail\payment_terms_template_detail.json                                                                           | JSON               |       -165 |          0 |         -1 |       -166 |
| c:\Users\floor\OneDrive - University of Twente\Documenten\mod 12\ModernityAndCodeQualityResearch\GithubAPI\python_repos\erpnext\erpnext\accounts\doctype\payment_terms_template_detail\payment_terms_template_detail.py                                                                             | Python             |        -28 |         -5 |         -9 |        -42 |
| c:\Users\floor\OneDrive - University of Twente\Documenten\mod 12\ModernityAndCodeQualityResearch\GithubAPI\python_repos\erpnext\erpnext\accounts\doctype\pegged_currencies\__init__.py                                                                                                              | Python             |          0 |          0 |         -1 |         -1 |
| c:\Users\floor\OneDrive - University of Twente\Documenten\mod 12\ModernityAndCodeQualityResearch\GithubAPI\python_repos\erpnext\erpnext\accounts\doctype\pegged_currencies\pegged_currencies.js                                                                                                     | JavaScript         |          0 |         -6 |         -3 |         -9 |
| c:\Users\floor\OneDrive - University of Twente\Documenten\mod 12\ModernityAndCodeQualityResearch\GithubAPI\python_repos\erpnext\erpnext\accounts\doctype\pegged_currencies\pegged_currencies.json                                                                                                   | JSON               |        -47 |          0 |          0 |        -47 |
| c:\Users\floor\OneDrive - University of Twente\Documenten\mod 12\ModernityAndCodeQualityResearch\GithubAPI\python_repos\erpnext\erpnext\accounts\doctype\pegged_currencies\pegged_currencies.py                                                                                                     | Python             |         -8 |         -6 |         -9 |        -23 |
| c:\Users\floor\OneDrive - University of Twente\Documenten\mod 12\ModernityAndCodeQualityResearch\GithubAPI\python_repos\erpnext\erpnext\accounts\doctype\pegged_currencies\test_pegged_currencies.py                                                                                                | Python             |          0 |         -3 |         -2 |         -5 |
| c:\Users\floor\OneDrive - University of Twente\Documenten\mod 12\ModernityAndCodeQualityResearch\GithubAPI\python_repos\erpnext\erpnext\accounts\doctype\pegged_currency_details\__init__.py                                                                                                        | Python             |          0 |          0 |         -1 |         -1 |
| c:\Users\floor\OneDrive - University of Twente\Documenten\mod 12\ModernityAndCodeQualityResearch\GithubAPI\python_repos\erpnext\erpnext\accounts\doctype\pegged_currency_details\pegged_currency_details.json                                                                                       | JSON               |        -49 |          0 |         -1 |        -50 |
| c:\Users\floor\OneDrive - University of Twente\Documenten\mod 12\ModernityAndCodeQualityResearch\GithubAPI\python_repos\erpnext\erpnext\accounts\doctype\pegged_currency_details\pegged_currency_details.py                                                                                         | Python             |        -12 |         -6 |         -8 |        -26 |
| c:\Users\floor\OneDrive - University of Twente\Documenten\mod 12\ModernityAndCodeQualityResearch\GithubAPI\python_repos\erpnext\erpnext\accounts\doctype\period_closing_voucher\README.md                                                                                                           | Markdown           |         -1 |          0 |          0 |         -1 |
| c:\Users\floor\OneDrive - University of Twente\Documenten\mod 12\ModernityAndCodeQualityResearch\GithubAPI\python_repos\erpnext\erpnext\accounts\doctype\period_closing_voucher\__init__.py                                                                                                         | Python             |          0 |          0 |         -1 |         -1 |
| c:\Users\floor\OneDrive - University of Twente\Documenten\mod 12\ModernityAndCodeQualityResearch\GithubAPI\python_repos\erpnext\erpnext\accounts\doctype\period_closing_voucher\period_closing_voucher.js                                                                                           | JavaScript         |        -54 |         -2 |         -6 |        -62 |
| c:\Users\floor\OneDrive - University of Twente\Documenten\mod 12\ModernityAndCodeQualityResearch\GithubAPI\python_repos\erpnext\erpnext\accounts\doctype\period_closing_voucher\period_closing_voucher.json                                                                                         | JSON               |       -158 |          0 |          0 |       -158 |
| c:\Users\floor\OneDrive - University of Twente\Documenten\mod 12\ModernityAndCodeQualityResearch\GithubAPI\python_repos\erpnext\erpnext\accounts\doctype\period_closing_voucher\period_closing_voucher.py                                                                                           | Python             |       -431 |        -28 |        -82 |       -541 |
| c:\Users\floor\OneDrive - University of Twente\Documenten\mod 12\ModernityAndCodeQualityResearch\GithubAPI\python_repos\erpnext\erpnext\accounts\doctype\period_closing_voucher\test_period_closing_voucher.py                                                                                      | Python             |       -321 |        -12 |        -60 |       -393 |
| c:\Users\floor\OneDrive - University of Twente\Documenten\mod 12\ModernityAndCodeQualityResearch\GithubAPI\python_repos\erpnext\erpnext\accounts\doctype\pos_closing_entry\__init__.py                                                                                                              | Python             |          0 |          0 |         -1 |         -1 |
| c:\Users\floor\OneDrive - University of Twente\Documenten\mod 12\ModernityAndCodeQualityResearch\GithubAPI\python_repos\erpnext\erpnext\accounts\doctype\pos_closing_entry\closing_voucher_details.html                                                                                             | HTML               |        -77 |         -6 |         -6 |        -89 |
| c:\Users\floor\OneDrive - University of Twente\Documenten\mod 12\ModernityAndCodeQualityResearch\GithubAPI\python_repos\erpnext\erpnext\accounts\doctype\pos_closing_entry\pos_closing_entry.js                                                                                                     | JavaScript         |       -170 |         -2 |        -18 |       -190 |
| c:\Users\floor\OneDrive - University of Twente\Documenten\mod 12\ModernityAndCodeQualityResearch\GithubAPI\python_repos\erpnext\erpnext\accounts\doctype\pos_closing_entry\pos_closing_entry.json                                                                                                   | JSON               |       -318 |          0 |         -1 |       -319 |
| c:\Users\floor\OneDrive - University of Twente\Documenten\mod 12\ModernityAndCodeQualityResearch\GithubAPI\python_repos\erpnext\erpnext\accounts\doctype\pos_closing_entry\pos_closing_entry.py                                                                                                     | Python             |       -364 |         -5 |        -77 |       -446 |
| c:\Users\floor\OneDrive - University of Twente\Documenten\mod 12\ModernityAndCodeQualityResearch\GithubAPI\python_repos\erpnext\erpnext\accounts\doctype\pos_closing_entry\pos_closing_entry_list.js                                                                                                | JavaScript         |        -12 |         -3 |         -2 |        -17 |
| c:\Users\floor\OneDrive - University of Twente\Documenten\mod 12\ModernityAndCodeQualityResearch\GithubAPI\python_repos\erpnext\erpnext\accounts\doctype\pos_closing_entry\test_pos_closing_entry.py                                                                                                | Python             |       -370 |        -25 |       -127 |       -522 |
| c:\Users\floor\OneDrive - University of Twente\Documenten\mod 12\ModernityAndCodeQualityResearch\GithubAPI\python_repos\erpnext\erpnext\accounts\doctype\pos_closing_entry_detail\__init__.py                                                                                                       | Python             |          0 |          0 |         -1 |         -1 |
| c:\Users\floor\OneDrive - University of Twente\Documenten\mod 12\ModernityAndCodeQualityResearch\GithubAPI\python_repos\erpnext\erpnext\accounts\doctype\pos_closing_entry_detail\pos_closing_entry_detail.json                                                                                     | JSON               |        -72 |          0 |          0 |        -72 |
| c:\Users\floor\OneDrive - University of Twente\Documenten\mod 12\ModernityAndCodeQualityResearch\GithubAPI\python_repos\erpnext\erpnext\accounts\doctype\pos_closing_entry_detail\pos_closing_entry_detail.py                                                                                       | Python             |        -14 |         -5 |         -9 |        -28 |
| c:\Users\floor\OneDrive - University of Twente\Documenten\mod 12\ModernityAndCodeQualityResearch\GithubAPI\python_repos\erpnext\erpnext\accounts\doctype\pos_closing_entry_taxes\__init__.py                                                                                                        | Python             |          0 |          0 |         -1 |         -1 |
| c:\Users\floor\OneDrive - University of Twente\Documenten\mod 12\ModernityAndCodeQualityResearch\GithubAPI\python_repos\erpnext\erpnext\accounts\doctype\pos_closing_entry_taxes\pos_closing_entry_taxes.json                                                                                       | JSON               |        -42 |          0 |         -1 |        -43 |
| c:\Users\floor\OneDrive - University of Twente\Documenten\mod 12\ModernityAndCodeQualityResearch\GithubAPI\python_repos\erpnext\erpnext\accounts\doctype\pos_closing_entry_taxes\pos_closing_entry_taxes.py                                                                                         | Python             |        -11 |         -5 |         -9 |        -25 |
| c:\Users\floor\OneDrive - University of Twente\Documenten\mod 12\ModernityAndCodeQualityResearch\GithubAPI\python_repos\erpnext\erpnext\accounts\doctype\pos_customer_group\__init__.py                                                                                                             | Python             |          0 |          0 |         -1 |         -1 |
| c:\Users\floor\OneDrive - University of Twente\Documenten\mod 12\ModernityAndCodeQualityResearch\GithubAPI\python_repos\erpnext\erpnext\accounts\doctype\pos_customer_group\pos_customer_group.json                                                                                                 | JSON               |        -32 |          0 |          0 |        -32 |
| c:\Users\floor\OneDrive - University of Twente\Documenten\mod 12\ModernityAndCodeQualityResearch\GithubAPI\python_repos\erpnext\erpnext\accounts\doctype\pos_customer_group\pos_customer_group.py                                                                                                   | Python             |        -10 |         -5 |         -9 |        -24 |
| c:\Users\floor\OneDrive - University of Twente\Documenten\mod 12\ModernityAndCodeQualityResearch\GithubAPI\python_repos\erpnext\erpnext\accounts\doctype\pos_field\__init__.py                                                                                                                      | Python             |          0 |          0 |         -1 |         -1 |
| c:\Users\floor\OneDrive - University of Twente\Documenten\mod 12\ModernityAndCodeQualityResearch\GithubAPI\python_repos\erpnext\erpnext\accounts\doctype\pos_field\pos_field.json                                                                                                                   | JSON               |        -80 |          0 |          0 |        -80 |
| c:\Users\floor\OneDrive - University of Twente\Documenten\mod 12\ModernityAndCodeQualityResearch\GithubAPI\python_repos\erpnext\erpnext\accounts\doctype\pos_field\pos_field.py                                                                                                                     | Python             |        -16 |         -6 |         -9 |        -31 |
| c:\Users\floor\OneDrive - University of Twente\Documenten\mod 12\ModernityAndCodeQualityResearch\GithubAPI\python_repos\erpnext\erpnext\accounts\doctype\pos_invoice\__init__.py                                                                                                                    | Python             |          0 |          0 |         -1 |         -1 |
| c:\Users\floor\OneDrive - University of Twente\Documenten\mod 12\ModernityAndCodeQualityResearch\GithubAPI\python_repos\erpnext\erpnext\accounts\doctype\pos_invoice\pos_invoice.js                                                                                                                 | JavaScript         |       -441 |         -3 |        -45 |       -489 |
| c:\Users\floor\OneDrive - University of Twente\Documenten\mod 12\ModernityAndCodeQualityResearch\GithubAPI\python_repos\erpnext\erpnext\accounts\doctype\pos_invoice\pos_invoice.json                                                                                                               | JSON               |     -1,696 |          0 |         -1 |     -1,697 |
| c:\Users\floor\OneDrive - University of Twente\Documenten\mod 12\ModernityAndCodeQualityResearch\GithubAPI\python_repos\erpnext\erpnext\accounts\doctype\pos_invoice\pos_invoice.py                                                                                                                 | Python             |       -925 |        -51 |       -158 |     -1,134 |
| c:\Users\floor\OneDrive - University of Twente\Documenten\mod 12\ModernityAndCodeQualityResearch\GithubAPI\python_repos\erpnext\erpnext\accounts\doctype\pos_invoice\pos_invoice_list.js                                                                                                            | JavaScript         |        -47 |         -3 |         -2 |        -52 |
| c:\Users\floor\OneDrive - University of Twente\Documenten\mod 12\ModernityAndCodeQualityResearch\GithubAPI\python_repos\erpnext\erpnext\accounts\doctype\pos_invoice\test_pos_invoice.py                                                                                                            | Python             |       -896 |        -26 |       -203 |     -1,125 |
| c:\Users\floor\OneDrive - University of Twente\Documenten\mod 12\ModernityAndCodeQualityResearch\GithubAPI\python_repos\erpnext\erpnext\accounts\doctype\pos_invoice\test_pos_invoice_merge.py                                                                                                      | Python             |       -138 |         -2 |        -24 |       -164 |
| c:\Users\floor\OneDrive - University of Twente\Documenten\mod 12\ModernityAndCodeQualityResearch\GithubAPI\python_repos\erpnext\erpnext\accounts\doctype\pos_invoice_item\__init__.py                                                                                                               | Python             |          0 |          0 |         -1 |         -1 |
| c:\Users\floor\OneDrive - University of Twente\Documenten\mod 12\ModernityAndCodeQualityResearch\GithubAPI\python_repos\erpnext\erpnext\accounts\doctype\pos_invoice_item\pos_invoice_item.json                                                                                                     | JSON               |       -872 |          0 |         -1 |       -873 |
| c:\Users\floor\OneDrive - University of Twente\Documenten\mod 12\ModernityAndCodeQualityResearch\GithubAPI\python_repos\erpnext\erpnext\accounts\doctype\pos_invoice_item\pos_invoice_item.py                                                                                                       | Python             |        -78 |         -6 |         -9 |        -93 |
| c:\Users\floor\OneDrive - University of Twente\Documenten\mod 12\ModernityAndCodeQualityResearch\GithubAPI\python_repos\erpnext\erpnext\accounts\doctype\pos_invoice_merge_log\__init__.py                                                                                                          | Python             |          0 |          0 |         -1 |         -1 |
| c:\Users\floor\OneDrive - University of Twente\Documenten\mod 12\ModernityAndCodeQualityResearch\GithubAPI\python_repos\erpnext\erpnext\accounts\doctype\pos_invoice_merge_log\pos_invoice_merge_log.js                                                                                             | JavaScript         |        -17 |         -2 |         -3 |        -22 |
| c:\Users\floor\OneDrive - University of Twente\Documenten\mod 12\ModernityAndCodeQualityResearch\GithubAPI\python_repos\erpnext\erpnext\accounts\doctype\pos_invoice_merge_log\pos_invoice_merge_log.json                                                                                           | JSON               |       -198 |          0 |         -1 |       -199 |
| c:\Users\floor\OneDrive - University of Twente\Documenten\mod 12\ModernityAndCodeQualityResearch\GithubAPI\python_repos\erpnext\erpnext\accounts\doctype\pos_invoice_merge_log\pos_invoice_merge_log.py                                                                                             | Python             |       -534 |        -31 |       -124 |       -689 |
| c:\Users\floor\OneDrive - University of Twente\Documenten\mod 12\ModernityAndCodeQualityResearch\GithubAPI\python_repos\erpnext\erpnext\accounts\doctype\pos_invoice_merge_log\test_pos_invoice_merge_log.py                                                                                        | Python             |       -376 |        -29 |        -76 |       -481 |
| c:\Users\floor\OneDrive - University of Twente\Documenten\mod 12\ModernityAndCodeQualityResearch\GithubAPI\python_repos\erpnext\erpnext\accounts\doctype\pos_invoice_reference\__init__.py                                                                                                          | Python             |          0 |          0 |         -1 |         -1 |
| c:\Users\floor\OneDrive - University of Twente\Documenten\mod 12\ModernityAndCodeQualityResearch\GithubAPI\python_repos\erpnext\erpnext\accounts\doctype\pos_invoice_reference\pos_invoice_reference.json                                                                                           | JSON               |        -84 |          0 |          0 |        -84 |
| c:\Users\floor\OneDrive - University of Twente\Documenten\mod 12\ModernityAndCodeQualityResearch\GithubAPI\python_repos\erpnext\erpnext\accounts\doctype\pos_invoice_reference\pos_invoice_reference.py                                                                                             | Python             |        -15 |         -6 |         -9 |        -30 |
| c:\Users\floor\OneDrive - University of Twente\Documenten\mod 12\ModernityAndCodeQualityResearch\GithubAPI\python_repos\erpnext\erpnext\accounts\doctype\pos_item_group\__init__.py                                                                                                                 | Python             |          0 |          0 |         -1 |         -1 |
| c:\Users\floor\OneDrive - University of Twente\Documenten\mod 12\ModernityAndCodeQualityResearch\GithubAPI\python_repos\erpnext\erpnext\accounts\doctype\pos_item_group\pos_item_group.json                                                                                                         | JSON               |        -32 |          0 |          0 |        -32 |
| c:\Users\floor\OneDrive - University of Twente\Documenten\mod 12\ModernityAndCodeQualityResearch\GithubAPI\python_repos\erpnext\erpnext\accounts\doctype\pos_item_group\pos_item_group.py                                                                                                           | Python             |        -10 |         -5 |         -9 |        -24 |
| c:\Users\floor\OneDrive - University of Twente\Documenten\mod 12\ModernityAndCodeQualityResearch\GithubAPI\python_repos\erpnext\erpnext\accounts\doctype\pos_opening_entry\__init__.py                                                                                                              | Python             |          0 |          0 |         -1 |         -1 |
| c:\Users\floor\OneDrive - University of Twente\Documenten\mod 12\ModernityAndCodeQualityResearch\GithubAPI\python_repos\erpnext\erpnext\accounts\doctype\pos_opening_entry\pos_opening_entry.js                                                                                                     | JavaScript         |        -46 |         -3 |         -7 |        -56 |
| c:\Users\floor\OneDrive - University of Twente\Documenten\mod 12\ModernityAndCodeQualityResearch\GithubAPI\python_repos\erpnext\erpnext\accounts\doctype\pos_opening_entry\pos_opening_entry.json                                                                                                   | JSON               |       -186 |          0 |          0 |       -186 |
| c:\Users\floor\OneDrive - University of Twente\Documenten\mod 12\ModernityAndCodeQualityResearch\GithubAPI\python_repos\erpnext\erpnext\accounts\doctype\pos_opening_entry\pos_opening_entry.py                                                                                                     | Python             |        -94 |         -5 |        -25 |       -124 |
| c:\Users\floor\OneDrive - University of Twente\Documenten\mod 12\ModernityAndCodeQualityResearch\GithubAPI\python_repos\erpnext\erpnext\accounts\doctype\pos_opening_entry\pos_opening_entry_list.js                                                                                                | JavaScript         |        -11 |         -3 |         -2 |        -16 |
| c:\Users\floor\OneDrive - University of Twente\Documenten\mod 12\ModernityAndCodeQualityResearch\GithubAPI\python_repos\erpnext\erpnext\accounts\doctype\pos_opening_entry\test_pos_opening_entry.py                                                                                                | Python             |        -82 |         -2 |        -33 |       -117 |
| c:\Users\floor\OneDrive - University of Twente\Documenten\mod 12\ModernityAndCodeQualityResearch\GithubAPI\python_repos\erpnext\erpnext\accounts\doctype\pos_opening_entry_detail\__init__.py                                                                                                       | Python             |          0 |          0 |         -1 |         -1 |
| c:\Users\floor\OneDrive - University of Twente\Documenten\mod 12\ModernityAndCodeQualityResearch\GithubAPI\python_repos\erpnext\erpnext\accounts\doctype\pos_opening_entry_detail\pos_opening_entry_detail.json                                                                                     | JSON               |        -43 |          0 |          0 |        -43 |
| c:\Users\floor\OneDrive - University of Twente\Documenten\mod 12\ModernityAndCodeQualityResearch\GithubAPI\python_repos\erpnext\erpnext\accounts\doctype\pos_opening_entry_detail\pos_opening_entry_detail.py                                                                                       | Python             |        -11 |         -6 |         -9 |        -26 |
| c:\Users\floor\OneDrive - University of Twente\Documenten\mod 12\ModernityAndCodeQualityResearch\GithubAPI\python_repos\erpnext\erpnext\accounts\doctype\pos_payment_method\__init__.py                                                                                                             | Python             |          0 |          0 |         -1 |         -1 |
| c:\Users\floor\OneDrive - University of Twente\Documenten\mod 12\ModernityAndCodeQualityResearch\GithubAPI\python_repos\erpnext\erpnext\accounts\doctype\pos_payment_method\pos_payment_method.json                                                                                                 | JSON               |        -50 |          0 |          0 |        -50 |
| c:\Users\floor\OneDrive - University of Twente\Documenten\mod 12\ModernityAndCodeQualityResearch\GithubAPI\python_repos\erpnext\erpnext\accounts\doctype\pos_payment_method\pos_payment_method.py                                                                                                   | Python             |        -12 |         -6 |         -9 |        -27 |
| c:\Users\floor\OneDrive - University of Twente\Documenten\mod 12\ModernityAndCodeQualityResearch\GithubAPI\python_repos\erpnext\erpnext\accounts\doctype\pos_profile\__init__.py                                                                                                                    | Python             |          0 |          0 |         -1 |         -1 |
| c:\Users\floor\OneDrive - University of Twente\Documenten\mod 12\ModernityAndCodeQualityResearch\GithubAPI\python_repos\erpnext\erpnext\accounts\doctype\pos_profile\pos_profile.js                                                                                                                 | JavaScript         |       -121 |         -2 |        -22 |       -145 |
| c:\Users\floor\OneDrive - University of Twente\Documenten\mod 12\ModernityAndCodeQualityResearch\GithubAPI\python_repos\erpnext\erpnext\accounts\doctype\pos_profile\pos_profile.json                                                                                                               | JSON               |       -615 |          0 |         -1 |       -616 |
| c:\Users\floor\OneDrive - University of Twente\Documenten\mod 12\ModernityAndCodeQualityResearch\GithubAPI\python_repos\erpnext\erpnext\accounts\doctype\pos_profile\pos_profile.py                                                                                                                 | Python             |       -288 |        -16 |        -44 |       -348 |
| c:\Users\floor\OneDrive - University of Twente\Documenten\mod 12\ModernityAndCodeQualityResearch\GithubAPI\python_repos\erpnext\erpnext\accounts\doctype\pos_profile\test_pos_profile.py                                                                                                            | Python             |       -103 |        -53 |        -23 |       -179 |
