Date : 2026-06-02 13:34:27
Directory : c:\Users\floor\OneDrive - University of Twente\Documenten\mod 12\ModernityAndCodeQualityResearch\GithubAPI\python_repos\aiohttp
Total : 328 files,  85382 codes, 9164 comments, 27154 blanks, all 121700 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| c:\Users\floor\OneDrive - University of Twente\Documenten\mod 12\ModernityAndCodeQualityResearch\GithubAPI\python_repos\aiohttp\.github\dependabot.yml                           | YAML             |         48 |          4 |          7 |         59 |
| c:\Users\floor\OneDrive - University of Twente\Documenten\mod 12\ModernityAndCodeQualityResearch\GithubAPI\python_repos\aiohttp\.github\lock.yml                                 | YAML             |          7 |         22 |         11 |         40 |
| c:\Users\floor\OneDrive - University of Twente\Documenten\mod 12\ModernityAndCodeQualityResearch\GithubAPI\python_repos\aiohttp\.github\workflows\auto-merge.yml                 | YAML             |         20 |          0 |          3 |         23 |
| c:\Users\floor\OneDrive - University of Twente\Documenten\mod 12\ModernityAndCodeQualityResearch\GithubAPI\python_repos\aiohttp\.github\workflows\ci-cd.yml                      | YAML             |        671 |         15 |         35 |        721 |
| c:\Users\floor\OneDrive - University of Twente\Documenten\mod 12\ModernityAndCodeQualityResearch\GithubAPI\python_repos\aiohttp\.github\workflows\codeql.yml                     | YAML             |         38 |          0 |          8 |         46 |
| c:\Users\floor\OneDrive - University of Twente\Documenten\mod 12\ModernityAndCodeQualityResearch\GithubAPI\python_repos\aiohttp\.github\workflows\label-remove.yml               | YAML             |         21 |          0 |          3 |         24 |
| c:\Users\floor\OneDrive - University of Twente\Documenten\mod 12\ModernityAndCodeQualityResearch\GithubAPI\python_repos\aiohttp\.github\workflows\labels.yml                     | YAML             |         23 |          0 |          2 |         25 |
| c:\Users\floor\OneDrive - University of Twente\Documenten\mod 12\ModernityAndCodeQualityResearch\GithubAPI\python_repos\aiohttp\.github\workflows\stale.yml                      | YAML             |         14 |          0 |          3 |         17 |
| c:\Users\floor\OneDrive - University of Twente\Documenten\mod 12\ModernityAndCodeQualityResearch\GithubAPI\python_repos\aiohttp\.lgtm.yml                                        | YAML             |          2 |          0 |          1 |          3 |
| c:\Users\floor\OneDrive - University of Twente\Documenten\mod 12\ModernityAndCodeQualityResearch\GithubAPI\python_repos\aiohttp\.mypy.ini                                        | Ini              |         35 |          0 |          4 |         39 |
| c:\Users\floor\OneDrive - University of Twente\Documenten\mod 12\ModernityAndCodeQualityResearch\GithubAPI\python_repos\aiohttp\.pre-commit-config.yaml                          | YAML             |        127 |          1 |          1 |        129 |
| c:\Users\floor\OneDrive - University of Twente\Documenten\mod 12\ModernityAndCodeQualityResearch\GithubAPI\python_repos\aiohttp\.readthedocs.yml                                 | YAML             |         21 |          4 |          7 |         32 |
| c:\Users\floor\OneDrive - University of Twente\Documenten\mod 12\ModernityAndCodeQualityResearch\GithubAPI\python_repos\aiohttp\CHANGES.rst                                      | reStructuredText |      4,706 |          7 |      3,732 |      8,445 |
| c:\Users\floor\OneDrive - University of Twente\Documenten\mod 12\ModernityAndCodeQualityResearch\GithubAPI\python_repos\aiohttp\CHANGES\.TEMPLATE.rst                            | reStructuredText |         69 |          0 |         14 |         83 |
| c:\Users\floor\OneDrive - University of Twente\Documenten\mod 12\ModernityAndCodeQualityResearch\GithubAPI\python_repos\aiohttp\CHANGES\10468.doc.rst                            | reStructuredText |          3 |          0 |          1 |          4 |
| c:\Users\floor\OneDrive - University of Twente\Documenten\mod 12\ModernityAndCodeQualityResearch\GithubAPI\python_repos\aiohttp\CHANGES\10549.misc.rst                           | reStructuredText |          1 |          0 |          1 |          2 |
| c:\Users\floor\OneDrive - University of Twente\Documenten\mod 12\ModernityAndCodeQualityResearch\GithubAPI\python_repos\aiohttp\CHANGES\10600.bugfix.rst                         | reStructuredText |          2 |          0 |          1 |          3 |
| c:\Users\floor\OneDrive - University of Twente\Documenten\mod 12\ModernityAndCodeQualityResearch\GithubAPI\python_repos\aiohttp\CHANGES\10611.bugfix.rst                         | reStructuredText |          3 |          0 |          1 |          4 |
| c:\Users\floor\OneDrive - University of Twente\Documenten\mod 12\ModernityAndCodeQualityResearch\GithubAPI\python_repos\aiohttp\CHANGES\10665.feature.rst                        | reStructuredText |          1 |          0 |          1 |          2 |
